age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country.grouped,education.grouped
47,Self-emp-inc,214169,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,15024,0,40,United States,High School
59,Federal-gov,117299,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40,United States,High School
23,Private,223019,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United States,High School
54,Private,203635,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,60,United States,High School
49,Private,186982,10,Separated,Exec-managerial,Not-in-family,White,Female,0,0,45,United States,Higher Education
41,Private,175674,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United States,Higher Education
29,Private,131088,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United States,High School
50,Private,400004,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United States,Higher Education
27,State-gov,271243,10,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,40,SudAmerica,Higher Education
22,Private,429346,9,Never-married,Adm-clerical,Other-relative,Black,Male,0,0,40,United States,High School
32,Private,351869,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1485,45,United States,Higher Education
29,Private,228860,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,50,United States,Higher Education
27,Private,180262,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United States,Higher Education
39,Private,179731,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United States,Postgraduate
41,Private,149909,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,50,United States,Higher Education
69,Private,130413,13,Widowed,Exec-managerial,Not-in-family,White,Female,2346,0,15,United States,Higher Education
26,Private,917220,8,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United States,High School
20,Private,231981,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,32,United States,Higher Education
38,Private,91039,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United States,Postgraduate
31,Private,103435,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,Higher Education
57,Self-emp-not-inc,353808,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United States,Higher Education
25,Private,51201,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United States,High School
59,Local-gov,197290,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United States,Middle
43,State-gov,199806,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United States,Higher Education
59,Private,146391,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United States,Postgraduate
30,Private,94413,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,30,United States,Higher Education
60,Private,317083,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United States,Higher Education
69,Private,182862,9,Never-married,Transport-moving,Not-in-family,White,Male,15831,0,40,United States,High School
44,Local-gov,189956,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,15024,0,40,United States,Higher Education
28,Private,153475,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,16,SudAmerica,Higher Education
39,Private,121590,10,Never-married,Prof-specialty,Not-in-family,Black,Male,4787,0,40,United States,Higher Education
36,Private,199346,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United States,Postgraduate
25,Private,211231,9,Married-civ-spouse,Tech-support,Other-relative,White,Female,0,0,48,United States,High School
23,Private,222835,13,Never-married,Other-service,Own-child,White,Female,0,0,30,United States,Higher Education
44,Local-gov,203761,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Higher Education
19,Private,277695,1,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,36,Asia,Primary
58,Private,34788,10,Married-civ-spouse,Sales,Husband,White,Male,0,1887,40,United States,Higher Education
33,Private,283602,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,59,Mexico,Primary
41,Local-gov,137142,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United States,Higher Education
28,Private,188171,12,Never-married,Transport-moving,Own-child,White,Male,0,0,60,United States,Higher Education
30,Private,203488,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United States,Higher Education
50,Local-gov,311551,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United States,Postgraduate
90,Private,88991,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,Europe,Higher Education
28,Federal-gov,341709,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United States,High School
59,Private,175689,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,14,SudAmerica,Higher Education
34,Private,152453,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,SudAmerica,High School
41,Private,428499,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,50,United States,Middle
41,Private,204662,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United States,Postgraduate
27,State-gov,212232,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United States,Higher Education
35,Private,112264,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,High School
