"age","workclass","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
74,"State-gov","Postgraduate",16,"Never-married","Prof-specialty","Other-relative","White","Female",0,3683,20,"United States",">50K"
68,"Federal-gov","High School",9,"Divorced","Prof-specialty","Not-in-family","White","Female",0,3683,40,"United States","<=50K"
45,"Private","Postgraduate",16,"Divorced","Prof-specialty","Unmarried","Black","Female",0,3004,35,"United States",">50K"
38,"Self-emp-not-inc","Higher Education",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2824,45,"United States",">50K"
32,"Private","Postgraduate",14,"Separated","Exec-managerial","Not-in-family","White","Male",0,2824,55,"United States",">50K"
46,"Private","Higher Education",15,"Divorced","Prof-specialty","Not-in-family","White","Male",0,2824,40,"United States",">50K"
34,"Private","Higher Education",13,"Separated","Sales","Not-in-family","White","Male",0,2824,50,"United States",">50K"
37,"Private","Higher Education",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,2824,40,"United States",">50K"
51,"Private","Higher Education",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2603,40,"United States","<=50K"
21,"Private","Higher Education",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2603,40,"United States","<=50K"
23,"Private","Higher Education",10,"Separated","Other-service","Not-in-family","White","Male",0,2559,40,"United States",">50K"
59,"Self-emp-inc","Middle",6,"Widowed","Exec-managerial","Unmarried","White","Female",0,2559,50,"United States",">50K"
52,"Private","Higher Education",15,"Divorced","Exec-managerial","Not-in-family","White","Male",0,2559,60,"United States",">50K"
51,"Private","Higher Education",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,2559,50,"United States",">50K"
63,"Federal-gov","Postgraduate",16,"Divorced","Exec-managerial","Not-in-family","White","Female",0,2559,60,"United States",">50K"
37,"Self-emp-not-inc","Postgraduate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,2559,60,"United States",">50K"
